<body><p>Number of Form I-130 Petition for Alien Relative,,,,,,,,,,,,,
"By Category, Case Status, and USCIS Field Office or Service Center Location  ",,,,,,,,,,,,,
"April 1, 2023 - June  30, 2023",,,,,,,,,,,,,
,,Petitions by Category of Relatives and Case Status,,,,,,,,Total,,,
USCIS Field Office or Service Center Location,,Immediate Relative1,,,,All Other Relative2,,,,,,,
Field Office by State7,Field Office Code,Petitions Received3,Approved4,Denied5,Pending6,Petitions Received3,Approved4,Denied5,Pending6,Petitions Received3,Approved4,Denied5,Pending6
New Jersey Central,NJC,246,190,12,731,10,D,-,51,256,197,12,782
New Mexico,,,,,,,,,,,,,
Albuquerque ,ABQ,242,636,D,997,D,21,-,30,248,657,D,"1,027"
New York,,,,,,,,,,,,,
Albany ,ALB,98,248,18,670,D,16,D,60,102,264,19,730
Brooklyn,BNY,"1,535","1,902",196,"8,419",57,93,19,541,"1,592","1,995",215,"8,960"
Buffalo ,BUF,200,495,21,906,D,22,D,73,206,517,27,979
Long Island,LNY,865,"1,733",117,"3,784",18,99,15,227,883,"1,832",132,"4,011"
New York ,NYC,"2,200","2,936",278,"9,595",76,141,25,502,"2,276","3,077",303,"10,097"
Queens,QNS,"1,690","1,340",185,"8,583",52,74,25,543,"1,742","1,414",210,"9,126"
North Carolina,,,,,,,,,,,,,
Charlotte ,CLT,664,826,36,"3,263",10,32,D,131,674,858,40,"3,394"
Raleigh,RAL,583,555,23,"3,081",17,12,D,134,600,567,27,"3,215"
Ohio,,,,,,,,,,,,,
Cincinnati ,CIN,188,530,24,916,10,15,D,59,198,545,28,975
Cleveland ,CLE,195,410,34,"1,040",11,33,-,69,206,443,34,"1,109"
Columbus,CLM,274,546,26,"1,019",D,40,D,44,281,586,32,"1,063"
Oklahoma,,,,,,,,,,,,,
Oklahoma City ,OKC,421,"1,011",28,"1,720",11,21,-,53,432,"1,032",28,"1,773"
Oregon,,,,,,,,,,,,,
Portland ,POO,434,869,21,"1,983",14,33,D,108,448,902,26,"2,091"
Pennsylvania,,,,,,,,,,,,,
