<body><p>Number of Form I-130 Petition for Alien Relative,,,,,,,,,,,,,
"By Category, Case Status, and USCIS Field Office or Service Center Location  ",,,,,,,,,,,,,
"July 1, 2023 - Septembe  30, 2023",,,,,,,,,,,,,
,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,
USCIS Field Office or Service Center Location,,Immediate Relative1,Immediate Relative1,Immediate Relative1,Immediate Relative1,All Other Relative2,All Other Relative2,All Other Relative2,All Other Relative2,Total,Total,Total,Total
Field Office by State7,Field Office Code,Petitions Received3,Approved4,Denied5,Pending6,Petitions Received3,Approved4,Denied5,Pending6,Petitions Received3,Approved4,Denied5,Pending6
Michigan,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Detroit ,DET,619,"1,322",46,"2,447",25,84, D ,160,644,"1,406",54,"2,607"
Minnesota,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
St. Paul ,SPM,521,233,36,"2,850",15,15,11,222,536,248,47,"3,072"
Missouri,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Kansas City ,KAN,326,255,47,"2,256", D ,26,54,93,331,281,101,"2,349"
St. Louis ,STL,226,114, D ,655,10,11, D ,25,236,125,11,680
Montana,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Helena ,HEL,39,38, D ,143, - , - , - , D ,39,38, D ,147
Nebraska,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Omaha ,OMA,179,245,29,"1,102", D ,12, D ,92,185,257,37,"1,194"
Nevada,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Las Vegas ,LVG,579,736,45,"2,947",20,38, D ,150,599,774,52,"3,097"
Reno ,REN,137,419,10,760, D ,12, - ,50,140,431,10,810
New Hampshire,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Manchester ,MAN,94,236, D ,400, D , D , D ,12,97,244,10,412
New Jersey,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Mount Laurel,MTL,485,788,65,"2,669", D ,51, D ,124,493,839,73,"2,793"
Newark ,NEW,"1,771","1,642",157,"8,574",63,82,15,424,"1,834","1,724",172,"8,998"
New Jersey Central,NJC,762,662,37,"3,075",16,23, D ,111,778,685,41,"3,186"
New Mexico,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Albuquerque ,ABQ,250,486, D ,782, D ,16, D ,13,252,502, D ,795
New York,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Albany ,ALB,89,141,32,678, D ,23, D ,51,91,164,37,729
Brooklyn,BNY,"1,471","1,680",212,"8,497",38,121,24,453,"1,509","1,801",236,"8,950"
Buffalo ,BUF,223,583,19,809, D ,41, D ,50,231,624,28,859
Long Island,LNY,892,"1,580",114,"3,481",16,109,11,173,908,"1,689",125,"3,654"
New York ,NYC,"2,199","2,413",336,"9,558",50,154,33,391,"2,249","2,567",369,"9,949"
Queens,QNS,"1,501","1,167",184,"9,203",33,80,22,495,"1,534","1,247",206,"9,698"
North Carolina,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Charlotte ,CLT,690,589,38,"3,653",10,15, D ,129,700,604,45,"3,782"
Raleigh,RAL,586,74, D ,"3,675",16, D , D ,141,602,77,10,"3,816"
Ohio,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Cincinnati ,CIN,187,571,20,872, D ,35, D ,57,192,606,23,929
Cleveland ,CLE,254,485,24,"1,027",10,41, D ,64,264,526,30,"1,091"
Columbus,CLM,303,576,39,"1,129", D ,23, D ,34,310,599,47,"1,163"
Oklahoma,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Oklahoma City ,OKC,493,417,18,"1,835", D ,15, D ,49,501,432,22,"1,884"
Oregon,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Portland ,POO,469,629,21,"1,903",12,37, D ,87,481,666,28,"1,990"
Pennsylvania,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Philadelphia,PHI,"1,473","1,028",166,"6,077",36,70,18,315,"1,509","1,098",184,"6,392"
Pittsburgh ,PIT,150,409,22,745,10,31, - ,39,160,440,22,784
Rhode Island,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Providence ,PRO,193,306,26,884, D ,13, D ,30,196,319,27,914
South Carolina,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Charleston ,CHL,316,319,22,"1,926", D ,14, D ,53,324,333,26,"1,979"
Greer,GRR,202,701,19,763, D ,42, D ,25,203,743,22,788
Tennessee,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Memphis ,MEM,210,378,14,"1,454", D ,19, D ,84,216,397,18,"1,538"
Nashville,NTN,412,603,26,"2,179",13,15, D ,131,425,618,29,"2,310"
Texas,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Dallas ,DAL,"2,674","3,399",129,"12,073",58,167,11,609,"2,732","3,566",140,"12,682"
El Paso ,ELP,722,"1,313",39,"2,379",14,66, D ,108,736,"1,379",44,"2,487"
Harlingen ,HLG,660,"1,258",24,"2,317",15,45, D ,85,675,"1,303",26,"2,402"
Houston ,HOU,"2,448","2,957",184,"12,495",57,160,18,620,"2,505","3,117",202,"13,115"
San Antonio ,SNA,"1,409","1,120",34,"5,517",36,54, D ,271,"1,445","1,174",42,"5,788"
Utah,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Salt Lake City ,SLC,663,65,26,"3,477",10, D , D ,76,673,68,28,"3,553"
Vermont,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
St. Albans ,STA,43,178, D ,157, D , D , D , D ,44,185, D ,164
Virginia,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Norfolk ,NOR,337,154,21,"2,473", D , D , D ,130,345,163,24,"2,603"
Washington,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Seattle ,SEA,901,"1,352",47,"3,529",73,216,17,300,974,"1,568",64,"3,829"
Spokane ,SPO,39,94, D ,288, D , D , D ,17,41,99, D ,305
Yakima,YAK,129,351, D ,339, D ,23, D ,14,130,374,10,353
West Virginia,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Charleston ,CHS, - , - , - , - , - , - , - , - , - , - , - , - 
Wisconsin,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Milwaukee ,MIL,269,259, D ,"1,704", D ,15, D ,69,277,274, D ,"1,773"
