,,,,,,,,,,,,,,,

USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,,

,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,,

,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,

 ,,,,,,,,,,,,,,,

Total,,," 155,598 "," 126,279 "," 10,310 "," 453,895 "," 61,117 "," 8,101 "," 3,943 "," 781,564 "," 216,715 "," 134,380 "," 14,253 "," 1,235,459 ",

Field Office by State6,,,,,,,,,,,,,,,

,,Field Office Code,,,,,,,,,,,,,

Alaska,,,,,,,,,,,,,,,

Iowa,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Des Moines,DSM, 137 , 155 , 23 , 525 , -   , D , D , 10 , 137 , 156 , 24 , 535 ,

Kansas,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Wichita,WIC, 173 , 62 , D , 663 , D , -   , -   , D , 174 , 62 , D , 668 ,

Kentucky,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Louisville ,LOU, 243 , 215 , 19 , 546 , -   , 17 , D , -   , 243 , 232 , 21 , 546 ,

Louisiana,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,New Orleans ,NOL, 373 , 414 , 23 ," 1,038 ", D , 22 , D , D , 374 , 436 , 29 ," 1,044 ",

Maine,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Portland ,POM, 58 , 202 , D , 134 , -   , -   , -   , -   , 58 , 202 , D , 134 ,

Maryland,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Baltimore ,BAL," 1,465 "," 1,201 ", 58 ," 6,282 ", -   , 28 , D , 249 ," 1,465 "," 1,229 ", 59 ," 6,531 ",

Massachusetts,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Boston ,BOS," 1,662 "," 2,049 ", 173 ," 4,236 ", -   , 32 , D , 101 ," 1,662 "," 2,081 ", 175 ," 4,337 ",

,Lawrence,LAW, 544 , 679 , 69 ," 1,446 ", -   , 16 , D , 36 , 544 , 695 , 78 ," 1,482 ",

Michigan,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Detroit ,DET, 751 ," 1,070 ", 121 ," 1,994 ", -   , 36 , 14 , 129 , 751 ," 1,106 ", 135 ," 2,123 ",

Minnesota,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,St. Paul ,SPM, 661 , 257 , 37 ," 3,182 ", -   , -   , D , 31 , 661 , 257 , 38 ," 3,213 ",

