H1: List of Recognized American Institutions of Research and Other Recognized Organizations

The following is a list of the recognized American institutions of research, public international organizations, and designations under the International Immunities Act as of April 6, 2011.

A USCIS AIR Number is assigned to the list of American institutions of research. Each primary organization and its entities and affiliates have a designated USCIS AIR Number. The primary organization is denoted with a ‘*’ in the below list.

TABLE:
USCIS AIR NUMBER | Recognized American Institutions of Research
AIR0000065 | Population Council, The, New York, N.Y.https://popcouncil.org/
AIR0000066 | Radio Liberty Committee, Inc. (formerly American Committee for Liberation, Inc.; American Committee for Liberation of the Peoples of Russia, Inc.; American Committee for Liberation from Bolshevism, Inc.).
AIR0000067 | Rockefeller Foundation.https://www.rockefellerfoundation.org/
AIR0000096 | Research Triangle Park
AIR0000068 | Rutgers University, the State University of New Jersey.https://www.rutgers.edu/
AIR0000069 | School of International Relations of the University of Southern California.https://www.usc.edu/
AIR0000070 | SIRIMAR (Societa Internazionale Recerche Marine) Division, Office of the Vice President for Research, Pennsylvania State University.https://www.psu.edu/
AIR0000071 | Social Science Research Council.https://www.ssrc.org/
AIR0000072 | Solar Energy Research Institute (SERI).https://www.ukm.my/seri/
AIR0000073 | *Stanford Electronic Laboratories, Department of Electrical Engineering, School of Engineering, Stanford University, Stanford, Calif.https://www.stanford.edu/
AIR0000074 | Stanford Research Institute, Menlo Park, Calif.https://www.sri.com/
AIR0000073 | Stanford University (the George Vanderbilt Foundation), Stanford, Calif.https://www.stanford.edu/
AIR0000075 | Syracuse University.https://www.syracuse.edu/
AIR0000076 | *Tulane University Graduate School.https://tulane.edu/
AIR0000076 | Tulane University Medical School.https://tulane.edu/
AIR0000077 | *University of Alabama.https://www.ua.edu/
AIR0000077 | University of Alabama Medical Center.https://www.ua.edu/
AIR0000030 | University of California:UC BerkeleyUC DavisUC IrvineUC Los AngelesUC MercedUC RiversideUC San DiegoUC San FranciscoUC Santa BarbaraUC Santa Cruzhttps://www.universityofcalifornia.edu/
AIR0000078 | University of Chicago (as a participant in the International Cooperation Administration Program No. W - 74 only).https://www.uchicago.edu/
AIR0000026 | University of Colorado (Department of History), Boulder, Colo.https://www.colorado.edu/
AIR0000079 | University of Connecticut, College of Liberal Arts and Science (Department of Germanic and Slavic Languages).https://uconn.edu/
AIR0000080 | University of Hawaii, Honolulu, Hawaii.https://www.hawaii.edu/
AIR0000081 | University of Illinois at Urbana - Champaign, Austria - Illinois Exchange Program.https://illinois.edu/
AIR0000082 | University of Kansas, Office of International Programs.https://www.ku.edu/
AIR0000083 | University of La Verne (La Verne College of Athens).https://laverne.edu/
AIR0000084 | University of Michigan (School of Natural Resources), Ann Arbor, Mich.https://umich.edu/
AIR0000085 | University of Minnesota, Department of Plant Pathology (in relationship to research project abroad).https://plpa.cfans.umn.edu/
AIR0000086 | University of Nebraska Mission in Colombia, South America.
AIR0000087 | University of North Carolina at Chapel Hill.https://www.unc.edu/
AIR0000088 | University of Notre Dame, Notre Dame, Indianahttps://www.nd.edu/
AIR0000089 | University of Puerto Rico.https://www.upr.edu/
AIR0000090 | University of Washington (Department of Marketing, Transportation, and International Business) and (The School of Public Health and Community Medicine), Seattle, Wash.https://www.washington.edu/
AIR0000091 | Vanderbilt University [Includes College of Arts and Science, Blair School of Music, Divinity School, School of Engineering, Graduate School, Law school, School of Medicine, School of Nursing, Owen Graduate School of Management, Peabody College of Education and Human Development, the Medical Center, the Public Policy Center, and the Freedom Forum First Amendment Center], Nashville, Tennessee. [Approved April 6, 2011]https://www.vanderbilt.edu/
AIR0000092 | Wayne State University, Detroit, Michigan.https://wayne.edu/
AIR0000093 | Wenner-Gren Foundation for Anthropological Research, Inc.https://wennergren.org/
AIR0000094 | Williams College, Economic Department, Williamstown, Mass.https://www.williams.edu/
AIR0000095 | Texas A&M Universityhttps://facultyaffairs.tamu.edu/index.htmlhttps://facultyaffairs.tamu.edu/immigration-affairs/index.html
AIR0000096 | Middlebury Collegehttps://www.middlebury.edu/
AIR0000097 | Carnegie Mellon Universityhttps://www.cmu.edu/student-affairs/
AIR0000098 | Oklahoma State Universityhttps://go.okstate.edu/
AIR0000099 | Baylor College of Medicinehttps://www.bcm.edu/
AIR0000100 | American University of Armeniahttps://aua.am/
AIR0000101 | Purdue Universityhttps://www.purdue.edu/
AIR0000102 | St. Olaf Collegehttps://wp.stolaf.edu/
AIR0000103 | The American Academy in Berlinhttps://www.americanacademy.de/
AIR0000104 | St. Jude Children’s Research Hospital
AIR0000105 | Tufts Universityhttps://www.tufts.edu/
AIR0000106 | Rice Universityhttps://www.rice.edu/
AIR0000107 | Virginia Commonwealth Universityhttps://www.vcu.edu/
AIR0000108 | Institution-Weill Cornell Medicine-Qatarhttps://www.qatar-weill.cornell.edu/
AIR0000109 | University of Nevada, Renohttps://www.unr.edu/
AIR0000110 | Temple Universityhttps://www.temple.edu/

African Medical and Research Foundation (AMREF - USA).

https://amref.org/

Albert Einstein College of Medicine of Yeshiva University (only in relationship to its research programs).

https://einsteinmed.org/

American University, The, Cairo, Egypt.

https://www.aucegypt.edu/

American University of Armenia

https://aua.am/

Arctic Institute of North America, Inc.

https://arctic.ucalgary.ca/

Armour Research Foundation of Illinois Institute of Technology.

https://www.iit.edu/research

Asia Foundation, The (formerly Committee for a Free Asia, Inc.).

https://asiafoundation.org/

Association of Universities for Research in Astronomy (AURA, Inc.), Tucson, Arizona.

https://www.aura-astronomy.org/about/membership/

Baylor College of Medicine

https://www.bcm.edu/

Bernice P. Bishop Museum of Polynesian Antiquities, Ethnology and Natural History at Honolulu, Hawaii.

https://www.bishopmuseum.org/

Brown University (Department of Engineering), Providence, R.I.

http://www.brown.edu/academics/engineering/

California State University at Long Beach, Department of Geological Sciences.

https://www.csulb.edu/earth-science

Carleton College (Department of Sociology and Anthropology), Northfield, Minnesota.

https://www.carleton.edu/sociology-anthropology/

Center of Alcohol Studies, Laboratory of Applied Biodynamics of Yale University. Central Registry of Jewish Losses in Egypt.

https://world.yale.edu/

College of Engineering, University of Wisconsin.

https://engineering.wisc.edu/

College of Medicine, State University of New York.

https://www.downstate.edu/education-training/college-of-medicine/index.html

Colorado State University (Research Foundation), Fort Collins, Colo.

https://www.colostate.edu/

*Colorado University (International Economic Studies Center), Boulder, Colo.

https://www.colorado.edu/

Columbia University (Parker School of Foreign and Comparative Law) and (Faculty of Pure Science), New York, N.Y.

https://www.columbia.edu/

Cornell University (International Agricultural Development, University of the Philippines-Cornell University Graduate Education Program).

https://www.cornell.edu/

Dartmouth Medical School.

https://geiselmed.dartmouth.edu/

*Department of French, Department of Scandinavian Languages, and Department of Near Eastern Languages of the University of California, Berkeley, Calif.

https://www.berkeley.edu/

Duke University.

https://duke.edu/

Environmental Research Laboratory of the University of Arizona.

https://environmentalscience.cals.arizona.edu/

Fermi National Accelerator Laboratory (Fermilab), Batavia, Illinois. [Approved October 19, 2011]

https://www.fnal.gov/

Fletcher School of Law and Diplomacy, Medford, Mass.

https://fletcher.tufts.edu/

Ford Foundation, New York, N.Y.

https://www.fordfoundation.org/

*Foundation for Aids Research, New York. [Approved February 8, 2011]

https://www.amfar.org/

American Foundation for Aids Research (AMFAR), New York, Washington, D.C., Bangkok, Thailand. [Approved February 8, 2011]

https://www.amfar.org/?s=bangkok

Free Europe, Inc. (formerly Free Europe Committee, Inc.; National Committee for a Free Europe (including Radio Free Europe)).

https://www.rferl.org/

Georgetown University.

https://www.georgetown.edu/

George Williams Hooper Foundation, San Francisco Medical Center, University of California, San Francisco, Calif.

https://www.ucsf.edu/

Graduate Faculty of Political and Social Science Division of the New School for Social Research, New York, N.Y.

https://www.newschool.edu/nssr/

Harvard University (research and educational programs only).

https://www.harvard.edu/

Harvard-Yenching Institute.

https://www.harvard-yenching.org/

Humboldt State University, School of Natural Resources, Wildlife Management Department.

https://www.humboldt.edu/

Indiana University at Bloomington, Indianapolis, South Bend, Northwest, Kokomo, Southeast, East, and Fort Wayne.

https://bloomington.iu.edu/

Iowa State University.

https://www.iastate.edu/

Institute of International Education, Inc.

https://www.iie.org/

Institute of International Studies, University of California, Berkeley, Calif.

https://www.berkeley.edu/

Inter-University Program for Chinese Language Studies (formerly Stanford Center for Chinese Studies) in Taipei, Taiwan.

https://iupchinesecenter.org/

Johns Hopkins University

https://www.jhu.edu/

Louisiana State University.

https://www.lsu.edu/

Massachusetts Institute of Technology.

https://web.mit.edu/

Michigan State University, East Lansing, Michigan.

https://msu.edu/

Missouri Botanical Garden (research and educational programs only).

https://www.missouribotanicalgarden.org/

*New York University, New York. [Approved February 8, 2011]

https://www.nyu.edu/

New York University Abu Dhabi Institute, United Arab Emirates. [Approved February 8, 2011]

https://nyuad.nyu.edu/en/

Peabody Museum of Natural History of Yale University.

https://peabody.yale.edu/

Pierce College (in relationship to research by an instructor, Department of Psychology), Athens, Greece.

https://www.pierce.gr/en/

Population Council, The, New York, N.Y.

https://popcouncil.org/

Rockefeller Foundation.

https://www.rockefellerfoundation.org/

Rutgers University, the State University of New Jersey.

https://www.rutgers.edu/

School of International Relations of the University of Southern California.

https://www.usc.edu/

SIRIMAR (Societa Internazionale Recerche Marine) Division, Office of the Vice President for Research, Pennsylvania State University.

https://www.psu.edu/

Social Science Research Council.

https://www.ssrc.org/

Solar Energy Research Institute (SERI).

https://www.ukm.my/seri/

*Stanford Electronic Laboratories, Department of Electrical Engineering, School of Engineering, Stanford University, Stanford, Calif.

https://www.stanford.edu/

Stanford Research Institute, Menlo Park, Calif.

https://www.sri.com/

Stanford University (the George Vanderbilt Foundation), Stanford, Calif.

https://www.stanford.edu/

Syracuse University.

https://www.syracuse.edu/

*Tulane University Graduate School.

https://tulane.edu/

Tulane University Medical School.

https://tulane.edu/

*University of Alabama.

https://www.ua.edu/

University of Alabama Medical Center.

https://www.ua.edu/

University of Chicago (as a participant in the International Cooperation Administration Program No. W - 74 only).

https://www.uchicago.edu/

University of Colorado (Department of History), Boulder, Colo.

https://www.colorado.edu/

University of Connecticut, College of Liberal Arts and Science (Department of Germanic and Slavic Languages).

https://uconn.edu/

University of Hawaii, Honolulu, Hawaii.

https://www.hawaii.edu/

University of Illinois at Urbana - Champaign, Austria - Illinois Exchange Program.

https://illinois.edu/

University of Kansas, Office of International Programs.

https://www.ku.edu/

University of La Verne (La Verne College of Athens).

https://laverne.edu/

University of Michigan (School of Natural Resources), Ann Arbor, Mich.

https://umich.edu/

University of Minnesota, Department of Plant Pathology (in relationship to research project abroad).

https://plpa.cfans.umn.edu/

University of North Carolina at Chapel Hill.

https://www.unc.edu/

University of Notre Dame, Notre Dame, Indiana

https://www.nd.edu/

University of Puerto Rico.

https://www.upr.edu/

University of Washington (Department of Marketing, Transportation, and International Business) and (The School of Public Health and Community Medicine), Seattle, Wash.

https://www.washington.edu/

Vanderbilt University [Includes College of Arts and Science, Blair School of Music, Divinity School, School of Engineering, Graduate School, Law school, School of Medicine, School of Nursing, Owen Graduate School of Management, Peabody College of Education and Human Development, the Medical Center, the Public Policy Center, and the Freedom Forum First Amendment Center], Nashville, Tennessee. [Approved April 6, 2011]

https://www.vanderbilt.edu/

Wayne State University, Detroit, Michigan.

https://wayne.edu/

